Date,Open
9-5-2019,285.320007
9-6-2019,293.350006
9-9-2019,294.809998
9-10-2019,291.160004
9-11-2019,285.700012
9-12-2019,288.100006
9-13-2019,290.609985
9-16-2019,294.230011
9-17-2019,294.5
9-18-2019,294.98999
9-19-2019,291.559998
9-20-2019,280.26001
9-23-2019,268.350006
9-24-2019,262.5
9-25-2019,255.710007
9-26-2019,266.420013
9-27-2019,266.179993
9-30-2019,264
10-1-2019,267.350006
10-2-2019,263.609985
10-3-2019,267.779999
10-4-2019,268.200012
10-7-2019,271.98999
10-8-2019,273.029999
10-9-2019,270.019989
10-10-2019,265.970001
10-11-2019,284.799988
10-14-2019,283.929993
10-15-2019,283.820007
10-16-2019,283.119995
10-17-2019,304.48999
10-18-2019,289.359985
10-21-2019,272.890015
10-22-2019,271.160004
10-23-2019,268.059998
10-24-2019,271.809998
10-25-2019,270.679993
10-28-2019,278.049988
10-29-2019,281.869995
10-30-2019,284.339996
10-31-2019,291
11-1-2019,288.700012
11-4-2019,288
11-5-2019,289.98999
11-6-2019,288.190002
11-7-2019,290.700012
11-8-2019,288.730011
11-11-2019,289.160004
11-12-2019,295.320007
11-13-2019,291.029999
11-14-2019,283.25
11-15-2019,290.589996
11-18-2019,296
11-19-2019,304.01001
11-20-2019,301.01001
11-21-2019,306
11-22-2019,309.100006
11-25-2019,308.829987
11-26-2019,315
11-27-2019,313.929993
11-29-2019,315.779999
12-2-2019,314.390015
12-3-2019,302.220001
12-4-2019,308.429993
12-5-2019,305.269989
12-6-2019,304.700012
12-9-2019,307.350006
12-10-2019,296.119995
12-11-2019,294.48999
12-12-2019,295.670013
12-13-2019,298.5
12-16-2019,300.850006
12-17-2019,307.359985
12-18-2019,316.26001
12-19-2019,324.5
12-20-2019,335
12-23-2019,337.76001
12-24-2019,334.01001
12-26-2019,334.600006
12-27-2019,332.959991
12-30-2019,329.079987
12-31-2019,322
1-2-2020,326.100006
1-3-2020,326.779999
1-6-2020,323.119995
1-7-2020,336.470001
1-8-2020,331.48999
1-9-2020,342
1-10-2020,337.130005
1-13-2020,331.799988
1-14-2020,344.399994
1-15-2020,338.679993
1-16-2020,343.5
1-17-2020,341
1-21-2020,340
1-22-2020,332.549988
1-23-2020,326.040009
1-24-2020,348.459991
1-27-2020,345.950012
1-28-2020,345.880005
1-29-2020,349
1-30-2020,341.100006
1-31-2020,347.390015
2-3-2020,347.23999
2-4-2020,361
2-5-2020,375.130005
2-6-2020,369.600006
2-7-2020,365.040009
2-10-2020,365
2-11-2020,373.75
2-12-2020,377.179993
2-13-2020,376.959991
2-14-2020,381.470001
2-18-2020,379.299988
2-19-2020,388.119995
2-20-2020,386.559998
2-21-2020,385.329987
2-24-2020,364.76001
2-25-2020,372
2-26-2020,366.309998
2-27-2020,371.459991
2-28-2020,364.209991
3-2-2020,373.109985
3-3-2020,381.029999
3-4-2020,377.769989
3-5-2020,381
3-6-2020,367.700012
3-9-2020,343.859985
3-10-2020,356.429993
3-11-2020,358.920013
3-12-2020,326.5
3-13-2020,330.51001
3-16-2020,306.630005
3-17-2020,306.190002
3-18-2020,302.399994
3-19-2020,324.329987
3-20-2020,342.309998
3-23-2020,347.890015
3-24-2020,369.98999
3-25-2020,361.019989
3-26-2020,344
3-27-2020,359.089996
3-30-2020,363
3-31-2020,367.929993
4-1-2020,376.049988
4-2-2020,364.079987
4-3-2020,367.470001
4-6-2020,365.220001
4-7-2020,380
4-8-2020,374.01001
4-9-2020,371.059998
4-13-2020,371.309998
4-14-2020,397.5
4-15-2020,413
4-16-2020,437
4-17-2020,431
4-20-2020,435.170013
4-21-2020,444.769989
4-22-2020,429.730011
4-23-2020,419.26001
4-24-2020,425
4-27-2020,425
4-28-2020,419.98999
4-29-2020,399.529999
4-30-2020,410.309998
5-1-2020,415.100006
5-4-2020,417.779999
5-5-2020,427.559998
5-6-2020,429.299988
5-7-2020,436.890015
5-8-2020,434.140015
5-11-2020,436.329987
5-12-2020,442
5-13-2020,435.690002
5-14-2020,444.899994
5-15-2020,440.700012
5-18-2020,451.160004
5-19-2020,453.399994
5-20-2020,454.25
5-21-2020,448.559998
5-22-2020,437
5-26-2020,427.769989
5-27-2020,410.380005
5-28-2020,417.23999
5-29-2020,417.459991
6-1-2020,418.829987
6-2-2020,425.869995
6-3-2020,426.950012
6-4-2020,422.390015
6-5-2020,407.290009
6-8-2020,416
6-9-2020,421.649994
6-10-2020,436
6-11-2020,428.200012
6-12-2020,429
6-15-2020,421.399994
6-16-2020,425.76001
6-17-2020,441.820007
6-18-2020,448.730011
6-19-2020,449.119995
6-22-2020,455.01001
6-23-2020,466.5
6-24-2020,468.540009
6-25-2020,458.859985
6-26-2020,466.390015
6-29-2020,445.230011
6-30-2020,450.019989
7-1-2020,454
7-2-2020,485.640015
7-6-2020,480.769989
7-7-2020,497.309998
7-8-2020,498.579987
7-9-2020,508.399994
7-10-2020,519.72998
7-13-2020,567.97998
7-14-2020,517.080017
7-15-2020,516.299988
7-16-2020,526.47998
7-17-2020,494.869995
7-20-2020,489.140015
7-21-2020,506
7-22-2020,492.190002
7-23-2020,491.130005
7-24-2020,468.769989
7-27-2020,484.51001
7-28-2020,496.019989
7-29-2020,492.25
7-30-2020,480.709991
7-31-2020,488.290009
8-3-2020,490.859985
8-4-2020,498.649994
8-5-2020,508.679993
8-6-2020,504.109985
8-7-2020,505.450012
8-10-2020,493.350006
8-11-2020,479.75
8-12-2020,471.339996
8-13-2020,478.399994
8-14-2020,482.820007
8-17-2020,484.190002
8-18-2020,484.350006
8-19-2020,493.929993
8-20-2020,484.690002
8-21-2020,496.459991
8-24-2020,495.440002
8-25-2020,488.190002
8-26-2020,492.5
8-27-2020,537.780029
8-28-2020,532
8-31-2020,521.159973
9-1-2020,532.599976
9-2-2020,553.780029
9-3-2020,545
9-4-2020,520.179993
9-8-2020,498.399994
9-9-2020,519.210022
9-10-2020,503.350006
9-11-2020,486.48999
9-14-2020,480.619995
9-15-2020,484
9-16-2020,499.98999
9-17-2020,475.160004
9-18-2020,472.51001
9-21-2020,467.690002
9-22-2020,489.01001
9-23-2020,491.040009
9-24-2020,470.529999
9-25-2020,474.390015
9-28-2020,489.109985
9-29-2020,489.5
9-30-2020,492.570007
10-1-2020,506.029999
10-2-2020,516.429993
10-5-2020,506.799988
10-6-2020,518.719971
10-7-2020,518
10-8-2020,533.47998
10-9-2020,537.830017
10-12-2020,548.809998
10-13-2020,540.559998
10-14-2020,562.609985
10-15-2020,545.52002
10-16-2020,549.5
10-19-2020,537.070007
10-20-2020,528.140015
10-21-2020,501.029999
10-22-2020,494.690002
10-23-2020,488.109985
10-26-2020,487.029999
10-27-2020,490.01001
10-28-2020,486.359985
10-29-2020,488.5
10-30-2020,502.01001
11-2-2020,478.869995
11-3-2020,484.929993
11-4-2020,495.359985
11-5-2020,506.559998
11-6-2020,515
11-9-2020,485.540009
11-10-2020,470.950012
11-11-2020,483
11-12-2020,491
11-13-2020,486.769989
11-16-2020,480
11-17-2020,480.119995
11-18-2020,481.950012
11-19-2020,482
11-20-2020,485.220001
11-23-2020,490.459991
11-24-2020,478.839996
11-25-2020,485.130005
11-27-2020,486.579987
11-30-2020,490.079987
12-1-2020,492.339996
12-2-2020,501.619995
12-3-2020,502.98999
12-4-2020,497.5
12-7-2020,500.01001
12-8-2020,517.900024
12-9-2020,510.529999
12-10-2020,494.559998
12-11-2020,495
12-14-2020,505.440002
12-15-2020,518.5
12-16-2020,520.109985
12-17-2020,529
12-18-2020,533.200012
12-21-2020,530.049988
12-22-2020,527.690002
12-23-2020,524.76001
12-24-2020,515.119995
12-28-2020,516.429993
12-29-2020,519.900024
12-30-2020,530.130005
12-31-2020,525.530029
1-4-2021,539
1-5-2021,521.549988
1-6-2021,511.970001
1-7-2021,508.279999
1-8-2021,511.309998
1-11-2021,507.839996
1-12-2021,500
1-13-2021,495.5
1-14-2021,507.350006
1-15-2021,500
1-19-2021,501
1-20-2021,565.419983
1-21-2021,582.450012
1-22-2021,582.099976
1-25-2021,567
1-26-2021,554.72998
1-27-2021,550.710022
1-28-2021,535.880005
1-29-2021,538
2-1-2021,536.789978
2-2-2021,542.01001
2-3-2021,550.169983
2-4-2021,539.809998
